"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"HBTS_PASTOR_A 6",-12.1571,-77.0201,0,70,0.1100,17184,363921,"BSC01NLV",1276,1278,,615,1,"no creado",,,,,,1121,121,
1900,"HBTS_PASTOR_B 5",-12.1547,-77.0214,0,70,0.1100,17177,363921,"BSC01NLV",1270,1271,,612,1,"no creado",,,,,,1121,121,
1900,"HBTS_PASTOR_B 6",-12.1547,-77.0214,0,70,0.1100,17178,363921,"BSC01NLV",1270,1272,,671,1,"no creado",,,,,,1121,121,
1900,"HBTS_PURUS 5",-12.0363,-77.0259,280,70,0.1100,13592,365581,"BSC03NLV",636,637,,669,1,"no creado",,,,,,1127,127,
1900,"HBTS_PURUS 6",-12.0363,-77.0259,100,70,0.1100,13593,365581,"BSC03NLV",636,638,,616,1,"no creado",,,,,,1127,127,
1900,"HBTS_PURUS_2 4",-12.0351,-77.0280,10,70,0.1100,13731,365581,"BSC03NLV",642,642,1,641,1,"creado",49,6,2,3,3,1127,127,
1900,"HBTS_PURUS_2 4",-12.0351,-77.0280,10,70,0.1100,13731,365581,"BSC03NLV",642,642,2,671,0,"creado",49,6,2,3,3,1127,127,
1900,"HBTS_PURUS_2 4",-12.0351,-77.0280,90,70,0.1100,13732,365581,"BSC03NLV",642,643,5,669,1,"creado",60,6,2,3,3,1127,127,
1900,"HBTS_PURUS_2 4",-12.0351,-77.0280,90,70,0.1100,13732,365581,"BSC03NLV",642,643,6,666,0,"creado",60,6,2,3,3,1127,127,
1900,"HBTS_SAN_FELIPE_A 4",-12.0840,-77.0517,355,70,0.1100,11141,249333,"BSC01NMA",688,688,,616,1,"no creado",,,,,,1116,88,
1900,"HBTS_SAN_FELIPE_A 5",-12.0840,-77.0517,45,70,0.1100,11142,249333,"BSC01NMA",688,689,,672,1,"no creado",,,,,,1116,88,
1900,"HBTS_SAN_FELIPE_A 6",-12.0840,-77.0517,115,70,0.1100,11143,249333,"BSC01NMA",688,690,,671,1,"no creado",,,,,,1116,88,
1900,"HBTS_SAN_FELIPE_B 4",-12.0857,-77.0569,70,70,0.1100,11171,249333,"BSC01NMA",694,694,,668,1,"no creado",,,,,,1116,88,
1900,"HBTS_SAN_FELIPE_B 5",-12.0857,-77.0569,110,70,0.1100,11172,249333,"BSC01NMA",694,695,,673,1,"no creado",,,,,,1116,88,
